stn;time;rre150d0
CDF;19010909;0.4
CDF;19010910;6.8
CDF;19010911;25.3
CDF;19010912;11.7
CDF;19010913;9.0
CDF;19010914;13.5
CDF;19010915;2.3
CDF;19010916;0.0
CDF;19010917;18.1
CDF;19010918;0.2
CDF;19010919;0.0
CDF;19010920;0.0
CDF;19010921;0.1
CDF;19010922;0.0
CDF;19010923;0.4
CDF;19010924;8.9
CDF;19010925;11.5
CDF;19010926;10.2
CDF;19010927;0.0
CDF;19010928;0.0
CDF;19010929;0.0
CDF;19010930;0.0
CDF;19011001;1.3
CDF;19011002;0.0
CDF;19011003;4.1
CDF;19011004;3.5
CDF;19011005;3.6
CDF;19011006;31.6
CDF;19011007;15.2
CDF;19011008;18.7
CDF;19011009;39.1
CDF;19011010;0.2
CDF;19011011;0.0
CDF;19011012;0.0
CDF;19011013;0.0
CDF;19011014;0.0
CDF;19011015;0.0
CDF;19011016;0.0
CDF;19011017;1.0
CDF;19011018;0.0
CDF;19011019;0.8
CDF;19011020;0.0
CDF;19011021;0.0
CDF;19011022;23.3
CDF;19011023;0.5
CDF;19011024;0.0
CDF;19011025;0.0
CDF;19011026;0.0
CDF;19011027;0.0
CDF;19011028;0.0
CDF;19011029;0.0
CDF;19011030;0.0
CDF;19011031;0.0
CDF;19011101;0.0
CDF;19011102;0.0
CDF;19011103;0.0
CDF;19011104;0.0
CDF;19011105;0.0
CDF;19011106;0.0
CDF;19011107;0.0
CDF;19011108;0.0
CDF;19011109;0.0
CDF;19011110;0.0
CDF;19011111;0.0
CDF;19011112;0.0
CDF;19011113;13.4
CDF;19011114;3.1
CDF;19011115;13.8
CDF;19011116;5.2
CDF;19011117;0.0
CDF;19011118;0.0
CDF;19011119;0.0
CDF;19011120;0.7
CDF;19011121;0.0
CDF;19011122;9.4
CDF;19011123;1.2
CDF;19011124;0.0
CDF;19011125;0.0
CDF;19011126;0.0
CDF;19011127;0.0
CDF;19011128;2.0
CDF;19011129;0.9
CDF;19011130;0.0
CDF;19011201;0.1
CDF;19011202;0.0
CDF;19011203;0.7
CDF;19011204;0.0
CDF;19011205;0.0
CDF;19011206;0.0
CDF;19011207;1.0
CDF;19011208;17.5
CDF;19011209;26.2
CDF;19011210;7.4
CDF;19011211;9.0
CDF;19011212;9.8
CDF;19011213;11.1
CDF;19011214;6.4
CDF;19011215;8.9
CDF;19011216;0.0
CDF;19011217;0.0
CDF;19011218;0.1
CDF;19011219;0.1
CDF;19011220;0.2
CDF;19011221;0.0
CDF;19011222;0.0
CDF;19011223;0.0
CDF;19011224;10.4
CDF;19011225;2.9
CDF;19011226;0.8
CDF;19011227;2.3
CDF;19011228;6.1
CDF;19011229;16.5
CDF;19011230;0.8
CDF;19011231;0.0
CDF;19020101;4.6
CDF;19020102;26.2
CDF;19020103;0.0
CDF;19020104;0.0
CDF;19020105;3.9
CDF;19020106;0.3
CDF;19020107;0.1
CDF;19020108;0.0
CDF;19020109;0.0
CDF;19020110;0.0
CDF;19020111;0.0
CDF;19020112;0.0
CDF;19020113;0.0
CDF;19020114;0.0
CDF;19020115;0.0
CDF;19020116;0.4
CDF;19020117;0.0
CDF;19020118;0.0
CDF;19020119;0.0
CDF;19020120;0.0
CDF;19020121;0.0
CDF;19020122;0.0
CDF;19020123;0.0
CDF;19020124;5.5
CDF;19020125;8.6
CDF;19020126;12.7
CDF;19020127;20.0
CDF;19020128;15.7
CDF;19020129;1.4
CDF;19020130;0.9
CDF;19020131;0.4
CDF;19020201;0.1
CDF;19020202;0.0
CDF;19020203;5.0
CDF;19020204;2.4
CDF;19020205;0.0
CDF;19020206;3.9
CDF;19020207;18.7
CDF;19020208;8.5
CDF;19020209;13.7
CDF;19020210;3.7
CDF;19020211;0.0
CDF;19020212;4.2
CDF;19020213;4.3
CDF;19020214;5.8
CDF;19020215;3.0
CDF;19020216;1.1
CDF;19020217;0.0
CDF;19020218;0.1
CDF;19020219;0.0
CDF;19020220;0.0
CDF;19020221;0.0
CDF;19020222;0.0
CDF;19020223;0.0
CDF;19020224;0.1
CDF;19020225;1.8
CDF;19020226;0.2
CDF;19020227;8.1
CDF;19020228;13.0
CDF;19020301;7.6
CDF;19020302;0.9
CDF;19020303;0.0
CDF;19020304;0.0
CDF;19020305;0.0
CDF;19020306;0.0
CDF;19020307;0.0
CDF;19020308;4.9
CDF;19020309;11.3
CDF;19020310;4.9
CDF;19020311;0.0
CDF;19020312;0.0
CDF;19020313;0.0
CDF;19020314;0.0
CDF;19020315;8.8
CDF;19020316;6.1
CDF;19020317;0.0
CDF;19020318;0.0
CDF;19020319;0.0
CDF;19020320;0.2
CDF;19020321;13.1
CDF;19020322;10.6
CDF;19020323;4.6
CDF;19020324;9.6
CDF;19020325;9.1
CDF;19020326;0.0
CDF;19020327;23.0
CDF;19020328;7.3
CDF;19020329;28.3
CDF;19020330;11.1
CDF;19020331;2.0
CDF;19020401;0.0
CDF;19020402;1.5
CDF;19020403;13.6
CDF;19020404;0.8
CDF;19020405;0.0
CDF;19020406;0.0
CDF;19020407;0.0
CDF;19020408;0.0
CDF;19020409;4.8
CDF;19020410;3.1
CDF;19020411;2.6
CDF;19020412;0.0
CDF;19020413;0.0
CDF;19020414;0.1
CDF;19020415;0.0
CDF;19020416;16.1
CDF;19020417;9.1
CDF;19020418;0.0
CDF;19020419;0.5
CDF;19020420;7.2
CDF;19020421;0.0
CDF;19020422;3.7
CDF;19020423;2.7
CDF;19020424;0.1
CDF;19020425;17.0
CDF;19020426;21.7
CDF;19020427;0.0
CDF;19020428;0.0
CDF;19020429;0.0
CDF;19020430;2.0
CDF;19020501;31.2
CDF;19020502;1.0
CDF;19020503;10.1
CDF;19020504;5.3
CDF;19020505;10.0
CDF;19020506;5.6
CDF;19020507;1.5
CDF;19020508;2.6
CDF;19020509;4.6
CDF;19020510;0.3
CDF;19020511;0.6
CDF;19020512;0.3
CDF;19020513;3.7
CDF;19020514;0.4
CDF;19020515;10.2
CDF;19020516;15.9
CDF;19020517;62.2
CDF;19020518;12.9
CDF;19020519;6.3
CDF;19020520;1.9
CDF;19020521;0.0
CDF;19020522;2.0
CDF;19020523;0.3
CDF;19020524;0.4
CDF;19020525;0.0
CDF;19020526;0.0
CDF;19020527;0.0
CDF;19020528;0.0
CDF;19020529;0.0
CDF;19020530;0.0
CDF;19020531;0.0
CDF;19020601;0.0
CDF;19020602;0.0
CDF;19020603;29.1
CDF;19020604;0.3
CDF;19020605;0.0
CDF;19020606;0.0
CDF;19020607;14.4
CDF;19020608;0.9
CDF;19020609;1.7
CDF;19020610;4.2
CDF;19020611;1.9
CDF;19020612;8.1
CDF;19020613;6.9
CDF;19020614;4.3
CDF;19020615;1.5
CDF;19020616;1.4
CDF;19020617;9.8
CDF;19020618;0.2
CDF;19020619;0.0
CDF;19020620;10.5
CDF;19020621;11.2
CDF;19020622;0.0
CDF;19020623;0.0
CDF;19020624;0.0
CDF;19020625;0.0
CDF;19020626;0.0
CDF;19020627;0.0
CDF;19020628;0.0
CDF;19020629;0.1
CDF;19020630;0.0
CDF;19020701;2.6
CDF;19020702;7.6
CDF;19020703;0.0
CDF;19020704;0.0
CDF;19020705;0.0
CDF;19020706;0.0
CDF;19020707;0.0
CDF;19020708;0.0
CDF;19020709;2.9
CDF;19020710;4.9
CDF;19020711;0.2
CDF;19020712;0.0
CDF;19020713;0.1
CDF;19020714;0.0
CDF;19020715;22.7
CDF;19020716;38.0
CDF;19020717;0.4
CDF;19020718;6.7
CDF;19020719;0.0
CDF;19020720;5.7
CDF;19020721;5.6
CDF;19020722;0.4
CDF;19020723;0.0
CDF;19020724;12.9
CDF;19020725;0.0
CDF;19020726;0.0
CDF;19020727;4.2
CDF;19020728;0.0
CDF;19020729;0.0
CDF;19020730;0.0
CDF;19020731;4.2
CDF;19020801;35.2
CDF;19020802;29.7
CDF;19020803;0.0
CDF;19020804;2.9
CDF;19020805;3.7
CDF;19020806;0.1
CDF;19020807;1.4
CDF;19020808;4.5
CDF;19020809;0.0
CDF;19020810;0.0
CDF;19020811;5.9
CDF;19020812;6.1
CDF;19020813;4.1
CDF;19020814;0.0
CDF;19020815;0.0
CDF;19020816;17.6
CDF;19020817;6.8
CDF;19020818;0.0
CDF;19020819;1.3
CDF;19020820;14.4
CDF;19020821;2.7
CDF;19020822;0.0
CDF;19020823;0.0
CDF;19020824;3.0
CDF;19020825;19.2
CDF;19020826;16.5
CDF;19020827;0.0
CDF;19020828;0.5
CDF;19020829;0.2
CDF;19020830;0.3
CDF;19020831;0.1
CDF;19020901;0.3
CDF;19020902;0.0
CDF;19020903;0.0
CDF;19020904;0.3
CDF;19020905;8.9
CDF;19020906;0.3
CDF;19020907;0.0
CDF;19020908;0.0
CDF;19020909;0.0
CDF;19020910;0.0
CDF;19020911;9.2
CDF;19020912;24.2
CDF;19020913;2.8
CDF;19020914;0.0
CDF;19020915;0.0
CDF;19020916;0.3
CDF;19020917;1.8
CDF;19020918;0.0
CDF;19020919;0.0
CDF;19020920;0.0
CDF;19020921;0.0
CDF;19020922;0.0
CDF;19020923;0.0
CDF;19020924;4.6
CDF;19020925;0.2
CDF;19020926;0.0
CDF;19020927;0.0
CDF;19020928;0.2
CDF;19020929;1.7
CDF;19020930;10.4
CDF;19021001;0.3
CDF;19021002;12.9
CDF;19021003;0.0
CDF;19021004;1.2
CDF;19021005;11.3
CDF;19021006;0.1
CDF;19021007;5.6
CDF;19021008;4.0
CDF;19021009;0.0
CDF;19021010;5.0
CDF;19021011;12.8
CDF;19021012;0.2
CDF;19021013;0.0
